in s,C1 in V
-2.92248E-05,2.63545E+00
-2.92236E-05,2.63057E+00
-2.92224E-05,2.64033E+00
-2.92212E-05,2.64033E+00
-2.92200E-05,2.63057E+00
-2.92188E-05,2.64033E+00
-2.92176E-05,2.64521E+00
-2.92164E-05,2.63545E+00
-2.92152E-05,2.63545E+00
-2.92140E-05,2.62080E+00
-2.92128E-05,2.62568E+00
-2.92116E-05,2.63057E+00
-2.92104E-05,2.64033E+00
-2.92092E-05,2.64033E+00
-2.92080E-05,2.64521E+00
-2.92068E-05,2.64033E+00
-2.92056E-05,2.63057E+00
-2.92044E-05,2.63545E+00
-2.92032E-05,2.63057E+00
-2.92020E-05,2.63545E+00
-2.92008E-05,2.63057E+00
-2.91996E-05,2.63057E+00
-2.91984E-05,2.63057E+00
-2.91972E-05,2.64033E+00
-2.91960E-05,2.64033E+00
-2.91948E-05,2.62568E+00
-2.91936E-05,2.63545E+00
-2.91924E-05,2.65498E+00
-2.91912E-05,2.63545E+00
-2.91900E-05,2.63545E+00
-2.91888E-05,2.63057E+00
-2.91876E-05,2.62080E+00
-2.91864E-05,2.63057E+00
-2.91852E-05,2.63545E+00
-2.91840E-05,2.64033E+00
-2.91828E-05,2.63545E+00
-2.91816E-05,2.63057E+00
-2.91804E-05,2.64033E+00
-2.91792E-05,2.64033E+00
-2.91780E-05,2.64033E+00
-2.91768E-05,2.63057E+00
-2.91756E-05,2.63545E+00
-2.91744E-05,2.62568E+00
-2.91732E-05,2.64033E+00
-2.91720E-05,2.64033E+00
-2.91708E-05,2.64033E+00
-2.91696E-05,2.64033E+00
-2.91684E-05,2.64521E+00
-2.91672E-05,2.63057E+00
-2.91660E-05,2.64033E+00
-2.91648E-05,2.63545E+00
-2.91636E-05,2.63057E+00
-2.91624E-05,2.64033E+00
-2.91612E-05,2.64033E+00
-2.91600E-05,2.62568E+00
-2.91588E-05,2.62568E+00
-2.91576E-05,2.62568E+00
-2.91564E-05,2.63545E+00
-2.91552E-05,2.63057E+00
-2.91540E-05,2.62568E+00
-2.91528E-05,2.64033E+00
-2.91516E-05,2.65010E+00
-2.91504E-05,2.63545E+00
-2.91492E-05,2.64521E+00
-2.91480E-05,2.64521E+00
-2.91468E-05,2.65010E+00
-2.91456E-05,2.63545E+00
-2.91444E-05,2.62568E+00
-2.91432E-05,2.63545E+00
-2.91420E-05,2.64521E+00
-2.91408E-05,2.63057E+00
-2.91396E-05,2.64033E+00
-2.91384E-05,2.64033E+00
-2.91372E-05,2.64521E+00
-2.91360E-05,2.63057E+00
-2.91348E-05,2.64033E+00
-2.91336E-05,2.62568E+00
-2.91324E-05,2.64033E+00
-2.91312E-05,2.63545E+00
-2.91300E-05,2.64521E+00
-2.91288E-05,2.63057E+00
-2.91276E-05,2.64521E+00
-2.91264E-05,2.64033E+00
-2.91252E-05,2.64521E+00
-2.91240E-05,2.62568E+00
-2.91228E-05,2.61592E+00
-2.91216E-05,2.62080E+00
-2.91204E-05,2.64033E+00
-2.91192E-05,2.63545E+00
-2.91180E-05,2.63545E+00
-2.91168E-05,2.63057E+00
-2.91156E-05,2.63545E+00
-2.91144E-05,2.63057E+00
-2.91132E-05,2.64033E+00
-2.91120E-05,2.63545E+00
-2.91108E-05,2.65010E+00
-2.91096E-05,2.62568E+00
-2.91084E-05,2.65498E+00
-2.91072E-05,2.64521E+00
-2.91060E-05,2.63057E+00
-2.91048E-05,2.63545E+00
-2.91036E-05,2.63057E+00
-2.91024E-05,2.63545E+00
-2.91012E-05,2.64033E+00
-2.91000E-05,2.62568E+00
-2.90988E-05,2.63057E+00
-2.90976E-05,2.63057E+00
-2.90964E-05,2.64033E+00
-2.90952E-05,2.62080E+00
-2.90940E-05,2.63057E+00
-2.90928E-05,2.63545E+00
-2.90916E-05,2.63057E+00
-2.90904E-05,2.63057E+00
-2.90892E-05,2.63057E+00
-2.90880E-05,2.63545E+00
-2.90868E-05,2.64033E+00
-2.90856E-05,2.63545E+00
-2.90844E-05,2.62080E+00
-2.90832E-05,2.63057E+00
-2.90820E-05,2.62568E+00
-2.90808E-05,2.63545E+00
-2.90796E-05,2.62568E+00
-2.90784E-05,2.62568E+00
-2.90772E-05,2.64521E+00
-2.90760E-05,2.63545E+00
-2.90748E-05,2.64033E+00
-2.90736E-05,2.64033E+00
-2.90724E-05,2.64033E+00
-2.90712E-05,2.63545E+00
-2.90700E-05,2.63057E+00
-2.90688E-05,2.64033E+00
-2.90676E-05,2.63057E+00
-2.90664E-05,2.65498E+00
-2.90652E-05,2.62568E+00
-2.90640E-05,2.64521E+00
-2.90628E-05,2.62568E+00
-2.90616E-05,2.64033E+00
-2.90604E-05,2.64521E+00
-2.90592E-05,2.65010E+00
-2.90580E-05,2.65010E+00
-2.90568E-05,2.64521E+00
-2.90556E-05,2.64521E+00
-2.90544E-05,2.63545E+00
-2.90532E-05,2.62568E+00
-2.90520E-05,2.62568E+00
-2.90508E-05,2.63545E+00
-2.90496E-05,2.64521E+00
-2.90484E-05,2.62568E+00
-2.90472E-05,2.62568E+00
-2.90460E-05,2.63057E+00
-2.90448E-05,2.63545E+00
-2.90436E-05,2.63545E+00
-2.90424E-05,2.64521E+00
-2.90412E-05,2.63057E+00
-2.90400E-05,2.63545E+00
-2.90388E-05,2.64521E+00
-2.90376E-05,2.63545E+00
-2.90364E-05,2.64033E+00
-2.90352E-05,2.63057E+00
-2.90340E-05,2.62568E+00
-2.90328E-05,2.64521E+00
-2.90316E-05,2.62568E+00
-2.90304E-05,2.63545E+00
-2.90292E-05,2.63545E+00
-2.90280E-05,2.64033E+00
-2.90268E-05,2.64521E+00
-2.90256E-05,2.63057E+00
-2.90244E-05,2.64033E+00
-2.90232E-05,2.63057E+00
-2.90220E-05,2.63545E+00
-2.90208E-05,2.63545E+00
-2.90196E-05,2.65498E+00
-2.90184E-05,2.63545E+00
